"","county_fips","state_name","county_name","votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff","trump16","clinton16","otherpres16","romney12","obama12","otherpres12","demsen16","repsen16","othersen16","demhouse16","rephouse16","otherhouse16","demgov16","repgov16","othergov16","repgov14","demgov14","othergov14","total_population","cvap","white_pct","black_pct","hispanic_pct","nonwhite_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_hh_inc","clf_unemploy_pct","lesshs_pct","lesscollege_pct","lesshs_whites_pct","lesscollege_whites_pct","rural_pct","ruralurban_cc","POPULATION","LATITUDE","LONGITUDE"
"21","01041","Alabama","Crenshaw County",4864,1700,6617,3164,0.735076318573372,0.256914009369805,0.478162309203567,4513,1664,90,4331,2050,37,1734,4392,11,2217,3287,499,NA,NA,NA,2953,1762,0,13896,10535,70.8693149107657,23.6758779504894,1.6839378238342,29.1306850892343,2.28842832469775,50.61168681635,36.8955094991364,17.5086355785838,37557,7.35557363710334,21.6835933410114,85.352319128887,20.7514699555428,84.5833930876237,100,8,13194,31.747324,-86.296787
"22","01043","Alabama","Cullman County",36880,4478,41851,32402,0.881221476189338,0.106998638025376,0.774222838163963,32989,3798,1086,28999,5052,406,5207,32001,57,0,33239,311,NA,NA,NA,16592,3693,0,81316,61625,92.4639677308279,1.03669634512273,4.21319297555217,7.53603226917213,2.83339072261302,50.5632347877416,36.9324610162822,17.7517339760933,39297,6.06475679771515,17.8435097562275,85.0309820144523,16.8047404276198,84.7993055424506,73.2395592368729,4,87866,34.162652,-86.83269
"23","01045","Alabama","Dale County",14303,5170,19738,9133,0.724642820954504,0.261931300030398,0.462711520924106,13808,4413,528,13108,5286,163,4625,13652,58,6071,8988,2940,NA,NA,NA,8170,2794,0,49607,37405,70.1917068155704,19.4025036789163,5.8882818957002,29.8082931844296,2.74558026085028,50.726711955974,39.982260568065,15.4292740943818,44093,10.3924418604651,14.1653928004076,83.9313011419836,12.7444233027003,83.1828670904012,50.8885395315516,4,49326,31.383858,-85.63771
"24","01047","Alabama","Dallas County",5524,12230,17864,-6706,0.30922525750112,0.6846171070309,-0.375391849529781,5789,12836,167,6288,14612,53,12388,6060,14,14885,0,201,NA,NA,NA,4115,8444,0,41426,30615,28.0693284410757,69.4974170810602,0.958335344952445,71.9306715589243,1.47250518997731,53.8260995510066,40.6990778737991,15.6761454159224,28136,14.8970170454545,20.98158147792,86.2156964272505,14.3532058492688,80.0112485939258,45.6389776357827,4,38462,32.411818,-87.035342
"25","01049","Alabama","DeKalb County",24767,4281,29356,20486,0.843677612753781,0.145830494617795,0.697847118135986,21405,3622,799,18331,5239,293,4749,20347,27,0,20679,339,NA,NA,NA,12562,3678,0,70937,49580,81.0155490082749,1.47736724135501,14.0152529709461,18.9844509917251,7.27687948461311,50.4715451738867,39.0459139800104,15.5320918561541,38248,6.33996117024838,27.3629848229342,88.6340640809444,22.2584680287459,88.0282553775968,90.1306445035087,6,71608,34.452725,-85.817465
"26","01051","Alabama","Elmore County",30164,10367,41030,19797,0.735169388252498,0.252668778942237,0.482500609310261,27634,8443,1183,26253,8954,278,8833,27591,102,10573,20519,4611,NA,NA,NA,15138,5500,0,80957,61485,73.6885013031609,21.1124424076979,2.80148720925924,26.3114986968391,1.95165334683845,51.3976555455365,38.6637350692343,13.8876193534839,53398,7.47316153013953,13.171974522293,77.761601455869,11.4209764317756,75.8740179906487,54.1883661399947,2,87977,32.558527,-86.225332
"27","01053","Alabama","Escambia County",10869,4918,15910,5951,0.683155248271527,0.309113764927718,0.374041483343809,9935,4605,305,9287,5489,93,4625,9555,17,0,10076,194,NA,NA,NA,6012,3028,0,37875,29330,60.5940594059406,32.3300330033003,2.05940594059406,39.4059405940594,0.736633663366337,48.8052805280528,37.7372937293729,16.6574257425743,32334,15.2370842179759,19.5442900395932,88.3743498175607,16.4528756398675,86.3294188497441,63.5115738928469,6,36757,31.085439,-87.280078
"28","01055","Alabama","Etowah County",35528,11567,47728,23961,0.744384847468991,0.242352497485753,0.502032349983238,32353,10442,1369,29130,12803,597,11981,31441,84,0,33845,797,NA,NA,NA,17443,8840,0,103363,78780,78.4313535791337,15.2849665741126,3.62992560200459,21.5686464208663,2.88207579114383,51.6200187688051,36.3573038708242,17.3630796319766,40478,8.45582563853935,17.5490961838875,83.5081455032359,16.0832221195634,82.3803168736954,37.4834817581155,3,103436,34.012182,-86.025892
"29","01057","Alabama","Fayette County",7300,1395,8766,5905,0.832762947752681,0.159137577002053,0.673625370750627,6712,1362,175,6054,1817,75,1497,6555,13,0,6692,59,NA,NA,NA,4837,1951,0,16783,13155,85.2291008758863,12.2385747482572,0.858011082643151,14.7708991241137,0.560090567836501,50.4796520288387,34.8149913603051,19.5495441816123,36205,8.77476155539252,20.7691004573945,85.8546501778757,21.2228447852158,84.8717192568564,80.2331651296329,6,16321,33.726912,-87.76749
"30","01059","Alabama","Franklin County",10376,2086,12578,8290,0.824932421688663,0.165845126411194,0.659087295277469,9466,2197,377,7567,3171,121,2850,8670,14,0,9063,125,NA,NA,NA,4949,2617,0,31573,21935,78.0730370886517,4.06043138124347,16.0168498400532,21.9269629113483,8.88417318595002,50.7395559497039,39.460931808824,16.0358534190606,36138,9.71294324939432,24.3310397553517,87.6099006116208,19.4158075601375,85.9908361970218,70.3665152662125,6,32113,34.463509,-87.793592
"31","01061","Alabama","Geneva County",10848,1595,12545,9253,0.864726982861698,0.127142287764049,0.737584695097648,9994,1525,239,9175,2039,106,1803,9606,28,3537,5556,2156,NA,NA,NA,6116,1219,0,26765,20515,84.0612740519335,9.42275359611433,3.70633289744069,15.9387259480665,1.67756398281338,51.1600971417896,35.2736783112273,18.9501214272371,36519,10.3151610920902,22.3132145705929,88.3382079234246,20.934671510375,87.6978018594914,89.6416573348264,3,26659,31.094511,-85.781426
"32","01063","Alabama","Greene County",875,3884,4775,-3009,0.183246073298429,0.813403141361257,-0.630157068062827,838,4013,29,804,4521,15,3834,918,3,4206,0,25,NA,NA,NA,538,2857,0,8587,6595,17.1421916851054,81.1808547804821,0.617212064749039,82.8578083148946,0.25620123442413,52.3465703971119,37.6033539070688,18.0039594736229,21339,18.1533101045296,23.0511316010059,90.0251466890193,9.98415213946117,82.9635499207607,100,8,7730,32.833838,-87.924522
"33","01065","Alabama","Hale County",3190,4687,7922,-1497,0.402676091895986,0.591643524362535,-0.188967432466549,3173,4775,92,3210,5411,22,4650,3208,5,5703,0,92,NA,NA,NA,2000,3168,0,15159,11565,39.9696549904347,58.2822085889571,1.20720364140115,60.0303450095653,1.03568836994525,53.0246058447127,38.0170195923214,17.6594762187479,33351,12.0593368237347,18.6039691074396,85.9712581875061,12.9222398549082,81.9768759918386,89.1687817258883,3,14785,32.783251,-87.627964
"34","01067","Alabama","Henry County",6607,2606,9298,4001,0.710582921058292,0.280275328027533,0.430307593030759,5632,2292,148,5628,3083,49,2366,5506,23,3127,3464,1145,NA,NA,NA,3330,1774,0,17187,13335,68.5634491185198,27.8873567231047,2.53098271949729,31.4365508814802,1.71059521731541,51.7018676906965,33.6184325362192,20.6318729272124,41045,7.52984389348026,19.3028393748466,83.855658293102,14.453125,81.5831801470588,87.7528609409317,3,17146,31.469275,-85.271132
"35","01069","Alabama","Houston County",32618,12917,46173,19701,0.706430164814935,0.279752236155329,0.426677928659606,30728,10664,1247,29270,12367,281,11219,30494,120,15008,18575,7371,NA,NA,NA,17214,6198,0,103891,78085,67.4524261004322,26.3747581599946,3.18699406108325,32.5475738995678,2.31685131532087,52.0824710513904,38.3979362986207,16.0485508850622,41945,8.06925498426023,15.0961524875306,78.9820976926229,11.0788496484159,75.1540649442996,33.804051325987,3,107202,31.204793,-85.39632
"36","01071","Alabama","Jackson County",19670,3717,23636,15953,0.832205110847859,0.157260111694026,0.674944999153833,16672,3673,639,14439,5822,316,4538,15742,21,4527,15520,26,NA,NA,NA,8244,3227,0,52608,40730,89.4920924574209,3.29417579075426,2.72772201946472,10.5079075425791,2.25631082725061,51.0283607055961,34.8426094890511,18.4515663017032,38422,8.60941586748038,20.5151000835152,87.421536140521,19.8329482850542,87.2874829690184,77.0173032483514,6,52579,34.727289,-85.943552
"37","01073","Alabama","Jefferson County",138843,181688,325848,-42845,0.426097444207115,0.557585131717856,-0.131487687510741,134768,156873,12550,141683,159876,2359,156574,144136,453,160844,122666,1201,NA,NA,NA,83005,82652,0,659096,491015,50.6709189556605,42.3396591695292,3.68929564130263,49.3290810443395,3.92583174529962,52.6668345734157,39.6523419957032,14.3100549844029,47220,8.21716620076396,11.0052298042802,68.559752699525,7.88907315427128,59.4423205915879,9.83376514504925,1,674721,33.517206,-86.811606
"38","01075","Alabama","Lamar County",6174,978,7193,5196,0.858334491867093,0.135965522035312,0.722368969831781,5823,1036,107,5457,1646,63,1125,5634,4,0,5680,55,NA,NA,NA,3155,1249,0,14066,10960,86.1367837338262,11.2611972131381,1.42897767666714,13.8632162661738,0.846011659320347,51.5640551684914,34.0892933314375,20.2189677235888,34298,9.52548330404218,22.5845169033807,86.9373874774955,21.9573400250941,86.55184213528,100,8,13972,33.761275,-88.108771
